Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Звук,Оборудование,DJ,DJ контроллер Pioneer DDJ-SB3,,DDJ-SB3,SND_EQP_DJ_DDJ-SB3,1,,,,,,
Звук,Оборудование,DJ,DJ контроллер Pioneer DDJ-SSX2,,DDJ-SSX2,SND_EQP_DJ_DDJ-SSX2,1,,,,,,
Звук,Оборудование,Прочее,XLR Extender,,XLR_EXTENDER,SND_EQP_OTH_XLR_EXTENDER,2,,,,,,
Прочее,Такелаж,Рампа,Трап 4м,,4,OTH_RIG_RMP_4,1,,,,,,
Прочее,Такелаж,Рампа,Трап 2м,,2,OTH_RIG_RMP_2,1,,,,,,
Прочее,Защита,,Огнетушитель,,,OTH_PRO,4,,,,,,
Сцена,Прочее,Доски и навершия,Доска Большая,,25,SCN_OTH_BOARD_25,45,,,,,,
Сцена,Прочее,Доски и навершия,Доска Глянец,,GLOSS,SCN_OTH_BOARD_GLOSS,31,,,,,,
Сцена,Прочее,Доски и навершия,Доска Маленькая,,15,SCN_OTH_BOARD_15,156,,,,,,
Звук,Стойка,Прочее,Комплект стаканов для стоек,,FSTNES,SND_STAND_OTH_FSTNES,1,,,,,,
Сцена,Прочее,Доски и навершия,Навершие на ферму K4-290,,HEAD,SCN_OTH_BOARD_HEAD,4,,,,,,
Сцена,Прочее,Пригруз,Пригруз 20 кг,,20kg,SCN_OTH_CARGO_20kg,4,,,,,,
Сцена,Прочее,Пригруз,Пригруз 30 кг,,30kg,SCN_OTH_CARGO_30kg,4,,,,,,
Сцена,Прочее,Пригруз,Пригруз 5 кг,,5kg,SCN_OTH_CARGO_5kg,3,,,,,,
Свет,Оборудование,Блиндер,Блиндер Blinder X2 LED-S16C IP,,LED,LGT_EQP_BLD_LED,8,,,,,,
Свет,Оборудование,Блиндер,Блиндер Showtec Stage Blinder X2 1300W Lamp,1 кейс 10 штук,X2,LGT_EQP_BLD_X2,1,10,,,,,
Свет,Оборудование,Блиндер,Блиндер Showtec Stage Blinder X4 2600W Lamp,1 кейс вместе с Х2 количество 4,X4,LGT_EQP_BLD_X4,1,15,,,,,
Свет,Оборудование,Вентилятор,Вентилятор FAN400,,FAN400,LGT_EQP_FAN_FAN400,2,,,,,,
Свет,Оборудование,Дым,Генератор тумана Haze DJ -700,,DJ -700,LGT_EQP_FOG_DJ -700,2,,,,,,
Свет,Оборудование,Дым,Генератор тумана Haze-2100,,Haze-2100,LGT_EQP_FOG_Haze-2100,4,15,,,,,
Свет,Оборудование,Дым,Генератор тумана MAINFX W-HAZE,,W-HAZE,LGT_EQP_FOG_W-HAZE,2,30,,,,,
Свет,Оборудование,Прочее,Диско ШАР с мотором,,SPHERE,LGT_EQP_OTH_SPHERE,2,,,,,,
Свет,Расходники,Дым,Жиждоксть D-1,,D-1,LGT_EXP_FOG_D-1,1,,,,,,
Свет,Расходники,Дым,Жиждоксть D-2,,D-2,LGT_EXP_FOG_D-2,1,,,,,,
Свет,Расходники,Дым,Жиждоксть F-1,,F-1,LGT_EXP_FOG_F-1,1,,,,,,
Свет,Расходники,Дым,Жиждоксть X-1,,X-1,LGT_EXP_FOG_X-1,1,,,,,,
Свет,Оборудование,Прочее,Клавиатура Logitech,,KEYBRD1,LGT_EQP_OTH_KEYBRD1,2,,,,,,
Свет,Оборудование,Прочее,Клавиатура Logitech с тачпад,,KEYBRD2,LGT_EQP_OTH_KEYBRD2,2,,,,,,
Свет,Оборудование,Прочее,Комплект wifi dmx + сплитер,,WIFI,LGT_EQP_OTH_WIFI,1,,,,,,
Свет,Оборудование,Дым,Масляный генератор тумана  MAINFX G-HAZE + CO2,,G-HAZE,LGT_EQP_FOG_G-HAZE,1,60,,,,,
Свет,Оборудование,Система управления,Мini PC 1 белый,,MINIPC W,LGT_EQP_CPN_MINIPC W,1,,,,,,
Свет,Оборудование,Система управления,Mini PC 2 черный,,MINIOC B,LGT_EQP_CPN_MINIOC B,1,,,,,,
Свет,Оборудование,Система управления,"Моноблок 24""",,PC,LGT_EQP_CPN_PC,1,,,,,,
Свет,Оборудование,Система управления,"Ноутбук Lenovo Light 1 14.0""",,Light 1,LGT_EQP_CPN_Light 1,1,,,,,,
Свет,Оборудование,Система управления,"Ноутбук Lenovo Light 2 14.0""",,Light 2,LGT_EQP_CPN_Light 2,1,,,,,,
Свет,Оборудование,Система управления,"Ноутбук Lenovo Light 3 14.0""",,Light 3,LGT_EQP_CPN_Light 3,1,,,,,,
Свет,Оборудование,Ламповая голова,Прибор полного вращения BEAM 7R 230W Lamp,8 кейсов по 2 в одном 2 трупа,7R,LGT_EQP_LHD_7R,8,10,,,,,
Свет,Оборудование,Ламповая голова,Прибор полного вращения BEAM SPL-MHL-380 IP,,380IP,LGT_EQP_LHD_380IP,16,20,,,,,
Свет,Оборудование,Ламповая голова,Прибор полного вращения Hybrid 11R 280W Lamp,4 кейса по 2,11R,LGT_EQP_LHD_11R,4,15,,,,,
